"","A5.22","A1.21","A2.22","A2.41","A2.72","A4.12","A4.22","A4.25","A4.71","A5.21","A5.31","A5.41","A5.51","A5.12","sbgr","h.lvl","l.lvl","eunis.code.gis"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5.12","4b","4","3","A5.1"
"2","A5.22",NA,NA,NA,NA,NA,NA,NA,NA,"A5.21",NA,NA,NA,NA,"4b","4","3","A5.2"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A3.1"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A2.3"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A1.1"
"6",NA,NA,NA,NA,NA,"A4.12",NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A4.1"
"7",NA,"A1.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A1.2"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A2.1"
"9",NA,NA,"A2.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A2.2"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A2.5"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A1.3"
"12",NA,NA,NA,"A2.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A2.4"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A3.2"
"14",NA,NA,NA,NA,NA,NA,"A4.22","A4.25",NA,NA,NA,NA,NA,NA,"4b","4","3","A4.2"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A3.3"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A1.4"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","B3.1"
"18",NA,NA,NA,NA,"A2.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4b","4","3","A2.7"
